//X,Y,Z,Scalar field
472514.70996094,5370018.75000000,56.43000031,1.000000
472515.22998047,5370018.45000076,56.31999969,2.000000
472515.75000000,5370018.12999916,56.29999924,1.000000
472516.73999023,5370019.42000008,56.02000046,2.000000
472516.27001953,5370019.70000076,56.15999985,1.000000
472515.77001953,5370020.01000023,56.11999893,2.000000
472515.30004883,5370020.28000069,56.25999832,2.000000
472514.81005859,5370020.56999969,56.29999924,2.000000
472514.33996582,5370020.85000038,56.41999817,1.000000
472513.85998535,5370021.12999916,56.47000122,1.000000
472513.36999512,5370021.42000008,56.54999924,1.000000
472512.85998535,5370021.75000000,56.43999863,2.000000
472512.41003418,5370022.00000000,56.65000153,2.000000
472511.91003418,5370022.30999947,56.61999893,2.000000
472511.42004395,5370022.61000061,56.63000107,2.000000
472510.93994141,5370022.88999939,56.66999817,2.000000
472510.45996094,5370023.18000031,56.75000000,1.000000
472509.96997070,5370023.47999954,56.74000168,2.000000
472509.50000000,5370023.75000000,56.86000061,1.000000
472509.01000977,5370024.04999924,56.84999847,2.000000
472508.54003906,5370024.31999969,56.99000168,1.000000
472508.83996582,5370024.53000069,56.86999893,2.000000
472509.38000488,5370024.20999908,56.86000061,1.000000
472509.90002441,5370023.89999962,56.72000122,2.000000
472510.44995117,5370023.55999947,56.77000046,1.000000
472510.97998047,5370023.26000023,56.63000107,2.000000
472511.52001953,5370022.93000031,56.63999939,2.000000
472512.05004883,5370022.62000084,56.56000137,2.000000
472512.59997559,5370022.28000069,56.59999847,2.000000
472513.13000488,5370021.96999931,56.49000168,1.000000
472513.67004395,5370021.63999939,56.50000000,1.000000
472514.18994141,5370021.34000015,56.34999847,2.000000
472514.73999023,5370021.01000023,56.38000107,1.000000
472515.25000000,5370020.70999908,56.22999954,2.000000
472515.79003906,5370020.37999916,56.22000122,1.000000
472516.30004883,5370020.10000038,56.02999878,2.000000
472516.84997559,5370019.76000023,56.04000092,1.000000
472518.13000488,5370020.85000038,56.00999832,1.000000
472517.61999512,5370021.15999985,55.97999954,2.000000
472517.14001465,5370021.44000053,56.08000183,1.000000
472516.64001465,5370021.75000000,56.04000092,2.000000
472516.15002441,5370022.04000092,56.15000153,1.000000
472515.64001465,5370022.36000061,56.06000137,2.000000
472515.17004395,5370022.62999916,56.20000076,2.000000
472514.67004395,5370022.93000031,56.22999954,2.000000
472514.19995117,5370023.20999908,56.36000061,1.000000
472513.70996094,5370023.50000000,56.40000153,2.000000
472513.21997070,5370023.79000092,56.45999908,2.000000
472512.73999023,5370024.07999992,56.50999832,2.000000
472512.25000000,5370024.37000084,56.58000183,2.000000
472511.75000000,5370024.68000031,56.58000183,2.000000
472511.29003906,5370024.94000053,56.77000046,1.000000
472510.78002930,5370025.26000023,56.70000076,2.000000
472510.30004883,5370025.54000092,56.83000183,1.000000
472509.81005859,5370025.82999992,56.84000015,2.000000
472510.27001953,5370025.94000053,56.77000046,2.000000
472510.79003906,5370025.63999939,56.66999817,2.000000
472511.33996582,5370025.29999924,56.68999863,1.000000
472511.85998535,5370025.00000000,56.58000183,2.000000
472512.40002441,5370024.67000008,56.63000107,1.000000
472512.92004395,5370024.37000084,56.50000000,2.000000
472513.43994141,5370024.04999924,56.45999908,2.000000
472513.95996094,5370023.76000023,56.25999832,2.000000
472514.50000000,5370023.43000031,56.29999924,1.000000
472515.01000977,5370023.12999916,56.20000076,2.000000
472515.54003906,5370022.81999969,56.11999893,2.000000
472516.07995605,5370022.48999977,56.15000153,1.000000
472516.60998535,5370022.17000008,56.15999985,1.000000
472517.14001465,5370021.86000061,56.04000092,2.000000
472517.68005371,5370021.53000069,56.08000183,1.000000
472518.19995117,5370021.21999931,55.97999954,2.000000
472519.13000488,5370022.52000046,56.13000107,1.000000
472518.64001465,5370022.82999992,56.06000137,2.000000
472518.16003418,5370023.12000084,56.11999893,2.000000
472517.67004395,5370023.40999985,56.15000153,2.000000
472517.20996094,5370023.67000008,56.29000092,1.000000
472516.69995117,5370023.98999977,56.18000031,2.000000
472516.22998047,5370024.26000023,56.33000183,1.000000
472515.73999023,5370024.56999969,56.27000046,2.000000
472515.25000000,5370024.86000061,56.34999847,1.000000
472514.75000000,5370025.17000008,56.31000137,2.000000
472514.27001953,5370025.45000076,56.41999817,2.000000
472513.75000000,5370025.78000069,56.34000015,2.000000
472513.26000977,5370026.05999947,56.47999954,2.000000
472512.77001953,5370026.35000038,56.54000092,2.000000
472512.28002930,5370026.62999916,56.68999863,1.000000
472511.78002930,5370026.94000053,56.66999817,2.000000
472511.28002930,5370027.23999977,56.75000000,2.000000
