//X,Y,Z,Scalar field
473999.47000122,5370973.30999756,114.55999756,1.000000
473999.02000427,5370973.61999512,114.23999786,1.000000
473998.49000549,5370973.95001221,113.51999664,1.000000
473998.11999512,5370974.27001953,113.81999969,1.000000
473996.94000244,5370974.04998779,112.08000183,1.000000
473997.36999512,5370973.72998047,112.18000031,1.000000
473997.88999939,5370973.40997314,112.88999939,1.000000
473998.33000183,5370973.09997559,113.16999817,1.000000
473998.80999756,5370972.78002930,113.65000153,1.000000
473999.35000610,5370972.46002197,114.55999756,1.000000
473999.83999634,5370972.14001465,115.04000092,1.000000
473999.88000488,5370970.34002686,113.48000336,2.000000
473999.52999878,5370970.66998291,113.93000031,1.000000
473999.13999939,5370970.98999023,114.12000275,1.000000
473998.71000671,5370971.32000732,114.11000061,1.000000
473998.28999329,5370971.65002441,114.11000061,1.000000
473997.78999329,5370971.97998047,113.62999725,1.000000
473997.36000061,5370972.30999756,113.55999756,1.000000
473996.72000122,5370972.63000488,112.15000153,1.000000
473996.49000549,5370972.95001221,113.36000061,1.000000
473995.91000366,5370973.28002930,112.30999756,1.000000
473995.66999817,5370973.59002686,113.37000275,1.000000
473995.22000122,5370973.91998291,113.22000122,1.000000
473994.66000366,5370974.23999023,112.26999664,1.000000
473993.46000671,5370974.21002197,111.79000092,1.000000
473993.88000488,5370973.90002441,111.87999725,1.000000
473994.44000244,5370973.58001709,112.88999939,1.000000
473994.86999512,5370973.26000977,113.05000305,1.000000
473995.25000000,5370972.95001221,112.87999725,1.000000
473995.67999268,5370972.63000488,113.05999756,1.000000
473996.03999329,5370972.30999756,112.72000122,1.000000
473996.53999329,5370972.00000000,113.31999969,1.000000
473996.96000671,5370971.69000244,113.51999664,1.000000
473997.44000244,5370971.36999512,113.97000122,1.000000
473997.83000183,5370971.04998779,113.88999939,1.000000
473998.25999451,5370970.73999023,114.11000061,1.000000
473998.72999573,5370970.42999268,114.51000214,1.000000
473999.02999878,5370970.11999512,113.86000061,1.000000
473999.52999878,5370969.79998779,114.51000214,1.000000
473999.96000671,5370969.47998047,114.61000061,1.000000
473999.86000061,5370968.00000000,115.23999786,1.000000
473999.47000122,5370968.30999756,115.37000275,1.000000
473998.89999390,5370968.63000488,114.33000183,1.000000
473998.47999573,5370968.95001221,114.33999634,1.000000
473998.00000000,5370969.27001953,113.81999969,1.000000
473997.57000732,5370969.59002686,113.73999786,1.000000
473997.16999817,5370969.91998291,113.87000275,1.000000
473996.77000427,5370970.22998047,113.90000153,1.000000
473996.19999695,5370970.55999756,112.95999908,1.000000
473995.82000732,5370970.88000488,113.22000122,1.000000
473995.38000488,5370971.20001221,113.00000000,1.000000
473994.86999512,5370971.53002930,112.45999908,1.000000
473994.64999390,5370971.84997559,113.68000031,1.000000
473994.25999451,5370972.15997314,113.80000305,1.000000
473993.75999451,5370972.47998047,113.27999878,1.000000
473993.22000122,5370972.79998779,112.41999817,1.000000
473992.86000061,5370973.11999512,112.77999878,1.000000
473992.41000366,5370973.45001221,112.55999756,1.000000
473991.77999878,5370973.77001953,111.15000153,1.000000
473991.53999329,5370974.09002686,112.30999756,1.000000
473990.24000549,5370974.03997803,111.08000183,1.000000
473990.71000671,5370973.72998047,111.58000183,1.000000
473990.94999695,5370973.41998291,110.51999664,1.000000
473991.47999573,5370973.09997559,111.27999878,1.000000
473991.74000549,5370972.78997803,110.38999939,2.000000
473992.33000183,5370972.46997070,111.56999969,1.000000
473992.72999573,5370972.15002441,111.54000092,1.000000
473993.25999451,5370971.83001709,112.33999634,1.000000
473993.74000549,5370971.51000977,112.80999756,1.000000
473994.05000305,5370971.20001221,112.23000336,1.000000
473994.47999573,5370970.88000488,112.34999847,1.000000
473994.97000122,5370970.55999756,112.84999847,1.000000
473995.36999512,5370970.23999023,112.84999847,1.000000
473995.85000610,5370969.91998291,113.26999664,1.000000
473996.33000183,5370969.59997559,113.72000122,1.000000
473996.80000305,5370969.28997803,114.20999908,1.000000
473997.16999817,5370968.96997070,113.91999817,1.000000
473997.60000610,5370968.65002441,114.04000092,1.000000
473998.00999451,5370968.34002686,114.18000031,1.000000
473998.46000671,5370968.02001953,114.44999695,1.000000
473998.91999817,5370967.71997070,114.88999939,1.000000
473999.30000305,5370967.40002441,114.66999817,1.000000
473999.69999695,5370967.08001709,114.66000366,1.000000
473999.94999695,5370965.28997803,114.77999878,1.000000
473999.52000427,5370965.60998535,114.72000122,1.000000
473999.05999756,5370965.92999268,114.34999847,1.000000
473998.72000122,5370966.25000000,114.91000366,1.000000
473998.27000427,5370966.57000732,114.69000244,1.000000
473997.89999390,5370966.89001465,114.93000031,1.000000
473997.36000061,5370967.21002197,114.12000275,1.000000
473996.97000122,5370967.52001953,114.23999786,1.000000
473996.42999268,5370967.84997559,113.43000031,1.000000
473996.02000427,5370968.16998291,113.44000244,1.000000
473995.52999878,5370968.47998047,112.87999725,1.000000
473995.08000183,5370968.80999756,112.70999908,1.000000
473994.55000305,5370969.13000488,111.94000244,1.000000
473994.11999512,5370969.45001221,111.79000092,1.000000
473993.66000366,5370969.78002930,111.54000092,1.000000
473993.16999817,5370970.09997559,111.12999725,1.000000
473992.74000549,5370970.41998291,110.95999908,1.000000
473992.30999756,5370970.73999023,110.93000031,1.000000
473991.83000183,5370971.07000732,110.50000000,1.000000
473991.38000488,5370971.39001465,110.30999756,1.000000
473990.96000671,5370971.71997070,110.30000305,1.000000
473990.53999329,5370972.03997803,110.25000000,1.000000
473990.07000732,5370972.36999512,109.97000122,1.000000
473989.61999512,5370972.70001221,109.79000092,1.000000
473989.16000366,5370973.02001953,109.50000000,1.000000
473988.72000122,5370973.34997559,109.41999817,1.000000
473988.25999451,5370973.67999268,109.22000122,1.000000
473987.83999634,5370974.01000977,109.20999908,1.000000
473986.30999756,5370974.21997070,108.76000214,1.000000
473986.66000366,5370973.90997314,108.38999939,1.000000
473987.11000061,5370973.58001709,108.62000275,1.000000
473987.61999512,5370973.25000000,109.19000244,1.000000
473988.05000305,5370972.92999268,109.27999878,1.000000
473988.44999695,5370972.59997559,109.19999695,1.000000
473988.91999817,5370972.28002930,109.56999969,1.000000
473989.36000061,5370971.95001221,109.69000244,1.000000
473989.82000732,5370971.61999512,109.93000031,1.000000
473990.24000549,5370971.29998779,110.04000092,1.000000
473990.69000244,5370970.97998047,110.23999786,1.000000
473991.11999512,5370970.65997314,110.41000366,1.000000
473991.57000732,5370970.34997559,110.75000000,1.000000
473991.99000549,5370970.03002930,110.76000214,1.000000
473992.41999817,5370969.71002197,110.94999695,1.000000
473992.94000244,5370969.40002441,111.77999878,1.000000
473993.30000305,5370969.09002686,111.55999756,1.000000
473993.69999695,5370968.78997803,111.58999634,1.000000
473994.14999390,5370968.46997070,111.90000153,1.000000
473994.67999268,5370968.15997314,112.79000092,1.000000
473995.11000061,5370967.85998535,113.05000305,1.000000
473995.42999268,5370967.53997803,112.50000000,1.000000
473995.86999512,5370967.22998047,112.76000214,1.000000
473996.27999878,5370966.91998291,112.87999725,1.000000
473996.75000000,5370966.59997559,113.26000214,1.000000
473997.32000732,5370966.28997803,114.34999847,1.000000
473997.74000549,5370965.97998047,114.51999664,1.000000
473998.13999939,5370965.65997314,114.47000122,1.000000
473998.47999573,5370965.34997559,114.08000183,2.000000
473998.91000366,5370965.03002930,114.23999786,2.000000
473999.38000488,5370964.71997070,114.62999725,1.000000
473999.85000610,5370964.40997314,115.15000153,1.000000
473997.47999573,5370964.48999023,114.01999664,1.000000
473997.02999878,5370964.80999756,113.77999878,1.000000
473996.53999329,5370965.11999512,113.19999695,1.000000
473996.13999939,5370965.44000244,113.27999878,1.000000
473995.67999268,5370965.76000977,112.94000244,1.000000
473995.19999695,5370966.08001709,112.48999786,1.000000
473994.72000122,5370966.40002441,112.05999756,1.000000
473994.30999756,5370966.71002197,112.02999878,1.000000
473993.85000610,5370967.03002930,111.73999786,1.000000
473993.41000366,5370967.35998535,111.55000305,1.000000
473992.97000122,5370967.66998291,111.38999939,1.000000
473992.52999878,5370968.00000000,111.23999786,1.000000
473992.07000732,5370968.32000732,110.97000122,1.000000
473991.61000061,5370968.64001465,110.66999817,1.000000
473991.19999695,5370968.96997070,110.76999664,1.000000
473990.86999512,5370969.28002930,111.27999878,1.000000
473990.46000671,5370969.60998535,111.34999847,1.000000
473990.08000183,5370969.92999268,111.62000275,1.000000
473989.63000488,5370970.25000000,111.33999634,1.000000
473989.13000488,5370970.58001709,110.80999756,1.000000
473988.46000671,5370970.91998291,109.30999756,1.000000
473988.03999329,5370971.23999023,109.23000336,1.000000
473987.57000732,5370971.57000732,108.94999695,1.000000
473987.08999634,5370971.90002441,108.62000275,1.000000
473986.75000000,5370972.21997070,109.08999634,1.000000
473986.36999512,5370972.54998779,109.41999817,1.000000
473985.80000305,5370972.89001465,108.48999786,1.000000
473985.55999756,5370973.20001221,109.58000183,1.000000
473985.11999512,5370973.53002930,109.47000122,1.000000
473984.75000000,5370973.84997559,109.77999878,1.000000
473983.96000671,5370974.21002197,107.58999634,1.000000
473982.69000244,5370974.27001953,107.43000031,2.000000
473983.11999512,5370973.95001221,107.58999634,1.000000
473983.50999451,5370973.63000488,107.51999664,1.000000
473984.22000122,5370973.29998779,109.41999817,1.000000
473984.66999817,5370972.97998047,109.69000244,1.000000
473985.10000610,5370972.66998291,109.83000183,1.000000
473985.49000549,5370972.35998535,109.77999878,1.000000
473985.83000183,5370972.03997803,109.41999817,1.000000
473986.16000366,5370971.72998047,108.94999695,1.000000
473986.49000549,5370971.41998291,108.48999786,1.000000
473986.94999695,5370971.09997559,108.80000305,1.000000
473987.42999268,5370970.78002930,109.25000000,1.000000
473987.85000610,5370970.46002197,109.34999847,1.000000
473988.41999817,5370970.14001465,110.33000183,1.000000
